Avg_DelayA,Avg_DelayB,Avg_DelA-Avg_DelB,fcount_A,fcount_B,Percentage difference
0,0,0,0,0,0
0.24573953846153854,0.24666408333333342,0.0009245448717948856,39,36,0.3762295956047745
0.3101701590909091,0.28947253191489364,0.020697627176015476,44,47,7.150117850249322
0.2806292666666667,0.3217926382978722,0.04116337163120548,60,47,14.668239032994231
0.28023792307692336,0.2792145384615384,0.0010233846153849813,52,65,0.366522682172566
0.2549391379310345,0.30150980000000005,0.04657066206896554,58,45,18.267364692181438
0.29860700000000007,0.31883987719298246,0.02023287719298239,49,57,6.7757544843163044
0.3117851923076921,0.2800766491228069,0.031708543184885196,52,57,11.321380516439184
0.2605076666666667,0.2970333695652176,0.036525702898550894,45,46,14.020970425138183
0.26997489473684205,0.30519413725490213,0.03521924251806008,38,51,13.045376886762018
0.39115884615384605,0.5481589333333334,0.15700008717948738,13,15,40.137169010294585
2.0,2.0,0.0,2,4,0.0
2.0,2.0,0.0,48,53,0.0
2.0000000212765956,2.0,2.1276595596475545e-08,47,46,1.0638297798237772e-06
2.0,2.0,0.0,55,54,0.0
2.0,2.0,0.0,63,47,0.0
2.0,2.0,0.0,41,46,0.0
2.0,2.0,0.0,47,42,0.0
2.0,2.0,0.0,4,4,0.0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8.0,8.0,0.0,3,5,0.0
